"id","org_flow_in", "person_flow_in", "price_chg"
1,"-2880.17","-820.22","(-2.32\\%)"
2,"-486.34","-799.84","(-1.52\\%)"
3,"-360.45","-446.99","(-2.71\\%)"
4,"-10418.37","-96.81","(-4.46\\%)"
5,"-1118.97","-477.53","(-2.82\\%)"
6,"-137.34","-89.37","(-0.85\\%)"
7,"-821.06","-546.98","(-0.61\\%)"
8,"-811.96","-815.84","(-4.19\\%)"
9,"238.38","-356.56","(-0.67\\%)"
10,"-889.84","-329.79","(-0.68\\%)"
11,"-2269.85","-1505.35","(-3.08\\%)"
12,"592.21","-1047.58","(-0.21\\%)"
13,"-945.16","-459.64","(-0.58\\%)"
14,"-410.01","-454.54","(-1.20\\%)"
15,"-8959.15","-3175.64","(-2.94\\%)"
16,"-776.67","-1157.70","(+3.32\\%)"
17,"-137.88","49.48","(+0.08\\%)"
18,"-1185.26","-88.69","(0.00\\%)"
19,"-1139.89","-951.01","(-2.09\\%)"
20,"-1340.10","-1582.16","(-2.51\\%)"
21,"-626.05","-542.96","(-1.14\\%)"
22,"-123.89","-348.24","(-2.73\\%)"
23,"-1439.84","-934.01","(-3.27\\%)"
24,"-591.34","-671.45","(-2.76\\%)"
25,"-11544.49","-1929.61","(-3.19\\%)"
26,"-768.44","-496.09","(+0.45\\%)"
27,"-2947.92","-1468.58","(-2.03\\%)"
28,"-129.96","78.61","(-0.09\\%)"
29,"-1430.04","-291.97","(-1.17\\%)"
30,"-1092.73","-1255.30","(-3.72\\%)"
31,"-2287.78","-1212.94","(-2.25\\%)"
32,"-6762.39","-469.94","(-1.68\\%)"
33,"-2060.78","-1228.27","(-1.47\\%)"
34,"-456.95","-458.01","(-2.65\\%)"
35,"29.58","-622.54","(-0.06\\%)"
36,"-430.92","572.33","(+0.47\\%)"
37,"2264.87","-956.02","(+0.79\\%)"
38,"-754.75","-445.91","(-2.00\\%)"
39,"-1297.96","-589.49","(-0.10\\%)"
40,"-2873.82","-550.62","(-1.12\\%)"
41,"-492.35","-570.84","(-1.37\\%)"
42,"-64.74","-951.22","(-1.40\\%)"
43,"-493.17","-225.83","(-1.48\\%)"
44,"-257.85","-198.11","(-1.48\\%)"
45,"0.00","0.00","(0.00\\%)"
46,"-1297.96","-589.49","(-0.10\\%)"
47,"-2873.82","-550.62","(-1.12\\%)"
48,"-492.35","-570.84","(-1.37\\%)"
49,"-64.74","-951.22","(-1.40\\%)"
50,"-493.17","-225.83","(-1.48\\%)"
51,"-257.85","-198.11","(-1.48\\%)"
52,"0.00","0.00","(0.00\\%)"
53,"-6476.11","-1779.74","(-0.50\\%)"
54,"-3469.06","-1196.03","(-2.78\\%)"
55,"-789.41","351.46","(-2.33\\%)"
56,"-702.62","-218.23","(-1.09\\%)"
57,"-2725.57","-853.10","(-1.43\\%)"
58,"-357.14","-223.06","(-1.51\\%)"
59,"-416.86","-543.50","(-1.26\\%)"
60,"-4139.97","-1685.06","(-5.20\\%)"
61,"-35.08","-58.75","(0.43\\%)"
62,"-15409.03","-1617.10","(-7.24\\%)"
63,"-571.12","-1026.81","(-2.53\\%)"
64,"-10950.97","33.81","(-2.18\\%)"
65,"-869.23","-443.18","(-3.14\\%)"
66,"-822.78","-749.87","(-1.40\\%)"
67,"-543.52","-556.54","(-0.46\\%)"
68,"-1694.96","-994.14","(0.91\\%)"
69,"1101.91","-98.63","(0.10\\%)"
70,"7405.60","-1496.63","(-1.94\\%)"
71,"-1436.73","-1513.56","(-2.04\\%)"
72,"616.77","-1020.79","(-1.29\\%)"
73,"-331.89","-694.13","(-3.03\\%)"
74,"0.00","0.00","(0.00\\%)"
75,"-152.98","234.60","(-0.09\\%)"
76,"-7340.19","-2123.79","(-3.23\\%)"
77,"-652.07","-1183.05","(-0.49\\%)"
78,"-997.65","-571.48","(-0.75\\%)"
79,"-2413.46","-265.98","(-0.20\\%)"
80,"-2380.84","-994.98","(-2.61\\%)"
81,"-1215.42","-1148.34","(-3.80\\%)"
82,"-702.08","-979.06","(-4.15\\%)"
83,"-1582.79","-527.44","(-1.16\\%)"
84,"-1300.08","-1267.13","(-1.90\\%)"
85,"-603.99","-806.52","(-0.44\\%)"
86,"-2838.39","-1059.44","(-1.25\\%)"
87,"-606.14","-883.15","(-1.46\\%)"
88,"-145.71","-517.52","(-1.92\\%)"
89,"772.76","-794.97","(+0.92\\%)"
90,"-2829.80","-401.09","(-2.98\\%)"
91,"-879.82","-1170.19","(-3.96\\%)"
92,"-1324.88","-604.59","(-1.78\\%)"
93,"-973.42","-596.11","(-1.26\\%)"
94,"-345.74","-338.45","(-1.19\\%)"
95,"-559.18","-668.83","(-0.40\\%)"
96,"0.00","0.00","(0.00\\%)"
97,"-402.81","-940.51","(-0.94\\%)"
98,"-614.07","-577.07","(-3.43\\%)"
99,"3162.08","-8.25","(+2.55\\%)"
100,"0.00","0.00","(0.00\\%)"
101,"-693.07","-845.65","(-4.17\\%)"
102,"-881.72","-1051.39","(-1.25\\%)"
103,"38.95","-200.46","(-0.89\\%)"
104,"-770.69","-621.59","(-2.01\\%)"
105,"1313.78","-552.94","(+0.75\\%)"
106,"131.64","147.94","(+0.11\\%)"
107,"558.82","-427.74","(0.00\\%)"
108,"-4169.09","-1087.42","(-0.50\\%)"
109,"-187.08","73.19","(-1.19\\%)"
110,"-211.30","-74.52","(-1.02\\%)"
111,"-898.80","-34.11","(+0.44\\%)"
112,"-997.72","-472.93","(-3.21\\%)"
113,"-211.14","-265.05","(-0.36\\%)"
114,"-365.18","-107.79","(-0.10\\%)"
115,"-16860.93","-1724.22","(-6.91\\%)"
116,"886.08","-733.90","(+2.30\\%)"
117,"-345.73","-787.66","(-1.37\\%)"
118,"-1450.23","-586.83","(-1.96\\%)"
119,"-3112.89","-1097.93","(-3.99\\%)"
120,"-2998.75","-52.42","(-0.47\\%)"
121,"-308.97","-1253.04","(-1.25\\%)"
122,"-279.24","-829.16","(-2.38\\%)"
123,"-612.64","-251.44","(-1.78\\%)"
124,"-706.05","-669.08","(-3.09\\%)"
125,"-3912.74","-1531.52","(-1.97\\%)"
126,"0.00","0.00","(0.00\\%)"
127,"1082.83","-286.55","(+1.38\\%)"
128,"25395.13","5731.09","(+10.01\\%)"
129,"-1524.19","-790.94","(-1.22\\%)"
130,"-803.94","-248.00","(-0.48\\%)"
131,"294.50","-450.95","(-1.59\\%)"
132,"650.25","-1092.96","(+3.55\\%)"
133,"0.00","0.00","(0.00\\%)"
134,"-4440.66","-896.01","(-2.69\\%)"
135,"-5121.88","-1239.08","(-0.97\\%)"
136,"-190.78","-254.36","(+0.21\\%)"
137,"-821.25","0.64","(-0.13\\%)"
138,"0.00","0.00","(0.00\\%)"
139,"-576.93","-512.59","(0.00\\%)"
140,"-924.49","-594.16","(-1.99\\%)"
141,"-963.46","-79.77","(-0.97\\%)"
142,"288.61","46.28","(-0.30\\%)"
143,"654.93","-264.37","(+0.14\\%)"
144,"-890.18","-1312.61","(-4.44\\%)"
145,"773.68","-286.47","(-0.59\\%)"
146,"-76.09","165.73","(-0.82\\%)"
147,"9599.34","422.76","(+5.60\\%)"
148,"-377.22","-556.71","(-0.83\\%)"
149,"0.00","0.00","(0.00\\%)"
150,"-1245.07","-301.95","(-1.70\\%)"
151,"-2541.50","-1417.31","(-4.21\\%)"
152,"1019.77","191.34","(+0.23\\%)"
153,"-607.13","-1065.99","(-2.34\\%)"
154,"-370.90","-331.29","(+0.09\\%)"
155,"-474.04","-1249.59","(-1.88\\%)"
156,"-4.72","109.30","(-0.11\\%)"
157,"-20.95","-2107.30","(-2.10\\%)"
158,"-884.84","-1134.00","(-4.22\\%)"
159,"-238.89","-308.07","(-1.10\\%)"
160,"-485.75","-460.31","(+0.11\\%)"
161,"-522.48","-549.04","(-2.39\\%)"
162,"-338.16","-713.98","(-3.37\\%)"
163,"-35.74","-72.44","(-1.28\\%)"
164,"-559.52","-436.05","(-1.21\\%)"
165,"3738.00","-330.41","(+1.94\\%)"
166,"-2678.27","-1182.25","(-1.52\\%)"
167,"-744.00","-887.16","(-1.14\\%)"
168,"-6306.04","-956.47","(-0.73\\%)"
169,"-6327.03","-1515.38","(-5.44\\%)"
170,"0.00","0.00","(0.00\\%)"
171,"-1829.09","-1557.43","(-3.09\\%)"
172,"0.00","0.00","(0.00\\%)"
173,"-264.60","-382.58","(-1.52\\%)"
174,"-1283.00","-318.52","(-1.43\\%)"
175,"521.00","46.24","(+0.12\\%)"
176,"0.00","0.00","(0.00\\%)"
177,"-1226.94","-940.23","(-1.76\\%)"
178,"-413.86","-632.58","(-1.08\\%)"
179,"-14185.27","-1348.57","(-2.59\\%)"
180,"71.99","-106.13","(-0.67\\%)"
181,"-857.26","-680.95","(-1.40\\%)"
182,"-2859.62","-3177.29","(-7.24\\%)"
183,"-1379.31","-954.54","(-1.93\\%)"
184,"-9365.65","-1642.76","(-2.21\\%)"
185,"-200.36","408.43","(+1.01\\%)"
186,"-249.27","-243.86","(-0.35\\%)"
187,"-3450.35","-1664.13","(-1.64\\%)"
188,"-2029.28","-1210.15","(-3.68\\%)"
189,"-2103.33","-542.54","(-1.61\\%)"
190,"37.98","221.07","(+0.34\\%)"
191,"-1827.32","-498.94","(-2.14\\%)"
192,"-2177.75","-561.91","(-2.48\\%)"
193,"119.78","12.06","(+1.50\\%)"
194,"-1496.50","-152.61","(+0.71\\%)"
195,"-918.04","-521.84","(-0.72\\%)"
196,"-1039.98","-630.99","(-2.51\\%)"
197,"-3979.20","-462.57","(-3.32\\%)"
198,"-5687.89","-402.29","(0.00\\%)"
199,"183.05","-155.90","(+0.82\\%)"
200,"22912.58","968.75","(+8.58\\%)"
201,"-147.81","-702.80","(-1.23\\%)"
202,"-711.56","-967.68","(-0.42\\%)"
203,"-1195.35","-542.60","(-2.03\\%)"
204,"-3535.13","-1187.10","(-2.91\\%)"
205,"-915.62","-321.12","(+0.48\\%)"
206,"-2237.45","-757.64","(-1.57\\%)"
207,"-4304.49","-2290.21","(-3.68\\%)"
208,"-154.23","-323.78","(-0.25\\%)"
209,"-575.43","-220.70","(-0.41\\%)"
210,"45.19","-417.72","(+0.22\\%)"
211,"3430.29","-197.69","(+0.70\\%)"
212,"-1919.64","-141.62","(-0.68\\%)"
213,"-357.04","-23.43","(-2.58\\%)"
214,"137.08","601.33","(+1.39\\%)"
215,"830.45","558.89","(+1.39\\%)"
216,"-523.63","-530.60","(+0.40\\%)"
217,"-8588.22","-899.23","(-6.12\\%)"
218,"-1733.11","-1057.51","(-1.90\\%)"
219,"-1492.45","-516.90","(-0.28\\%)"
220,"-627.61","-788.13","(-0.46\\%)"
221,"644.75","-427.96","(-0.66\\%)"
222,"-1011.19","-1836.59","(-1.77\\%)"
223,"-1136.24","-793.84","(-2.23\\%)"
224,"-536.45","-901.20","(-3.95\\%)"
225,"-2158.55","-1184.57","(-2.87\\%)"
226,"0.00","0.00","(0.00\\%)"
227,"-693.80","-103.27","(-0.03\\%)"
228,"-746.85","-119.35","(-1.59\\%)"
229,"-220.48","254.43","(+0.08\\%)"
230,"-19541.23","-1714.37","(-5.16\\%)"
231,"-244.64","-376.68","(-0.69\\%)"
232,"371.49","857.00","(+0.50\\%)"
233,"-301.47","-583.27","(-1.40\\%)"
234,"-1156.41","-293.93","(-1.77\\%)"
235,"-963.27","-552.32","(-1.56\\%)"
236,"-1062.37","-623.85","(-3.08\\%)"
237,"76.39","-480.14","(-0.19\\%)"
238,"-1421.07","-531.80","(-1.02\\%)"
239,"878.36","-2129.79","(-0.48\\%)"
240,"-2520.67","-2093.31","(-3.30\\%)"
241,"1264.47","-14.15","(+2.20\\%)"
242,"-55.93","-174.77","(0.00\\%)"
243,"-133.16","-261.12","(-2.01\\%)"
244,"-9.71","117.21","(+0.96\\%)"
245,"-707.55","-313.78","(-1.43\\%)"
246,"-840.67","-1307.79","(-1.11\\%)"
247,"-3733.34","-2394.37","(-3.06\\%)"
248,"-1882.77","-1166.10","(-1.20\\%)"
249,"-53361.87","-6716.61","(-9.98\\%)"
250,"-1215.05","-1982.65","(-4.72\\%)"
251,"-1578.00","-669.84","(-1.38\\%)"
252,"-315.51","-434.43","(-0.72\\%)"
253,"1600.31","-919.56","(+0.18\\%)"
254,"-59.67","-338.56","(-0.78\\%)"
255,"17.92","-2.93","(+0.39\\%)"
256,"-982.69","-937.70","(-1.14\\%)"
257,"-1700.30","-718.42","(-4.12\\%)"
258,"-8143.43","-2220.35","(-2.31\\%)"
259,"0.00","0.00","(0.00\\%)"
260,"-1251.29","-383.74","(-1.59\\%)"
261,"-736.67","-1019.80","(-3.28\\%)"
262,"-133.16","-261.12","(-2.01\\%)"
263,"-9.71","117.21","(+0.96\\%)"
264,"-707.55","-313.78","(-1.43\\%)"
265,"-840.67","-1307.79","(-1.11\\%)"
266,"-3733.34","-2394.37","(-3.06\\%)"
267,"-1882.77","-1166.10","(-1.20\\%)"
268,"-53361.87","-6716.61","(-9.98\\%)"
269,"-1215.05","-1982.65","(-4.72\\%)"
270,"-1578.00","-669.84","(-1.38\\%)"
271,"-315.51","-434.43","(-0.72\\%)"
272,"1600.31","-919.56","(+0.18\\%)"
273,"-59.67","-338.56","(-0.78\\%)"
274,"17.92","-2.93","(+0.39\\%)"
275,"-982.69","-937.70","(-1.14\\%)"
276,"-1700.30","-718.42","(-4.12\\%)"
277,"-8143.43","-2220.35","(-2.31\\%)"
278,"0.00","0.00","(0.00\\%)"
279,"-1251.29","-383.74","(-1.59\\%)"
280,"-736.67","-1019.80","(-3.28\\%)"
281,"-1411.53","-1159.94","(-1.45\\%)"
282,"2421.65","-931.00","(+0.03\\%)"
283,"-653.14","-1076.64","(-3.42\\%)"
284,"-1451.01","-895.27","(-3.08\\%)"
285,"898.07","103.56","(+0.55\\%)"
286,"-512.87","-406.67","(-1.01\\%)"
287,"-1015.63","-1303.77","(-2.78\\%)"
288,"-1723.57","-1020.97","(-2.20\\%)"
289,"-2217.89","-593.83","(-1.73\\%)"
290,"0.00","0.00","(0.00\\%)"
291,"2727.89","2579.19","(+10.01\\%)"
292,"93.17","-312.51","(+0.16\\%)"
293,"17.91","-258.26","(-1.72\\%)"
294,"-5967.80","842.01","(-1.39\\%)"
295,"-873.05","-1204.82","(-2.85\\%)"
296,"-974.23","-1326.06","(-2.88\\%)"
297,"-106.51","71.44","(0.00\\%)"
298,"-316.89","-732.57","(-1.54\\%)"
299,"-422.79","-477.10","(-2.56\\%)"
300,"-7893.59","-1677.63","(-4.22\\%)"
301,"-758.62","-572.64","(-2.80\\%)"
302,"-222.59","-133.36","(-0.94\\%)"
303,"734.39","152.39","(-0.35\\%)"
304,"-12388.62","-2380.54","(-10.00\\%)"
